	frame	subF	slot	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler	bwpId
UL	40	9	0	0	13	1	1	12	0	0	66.7726		0 	0 	1
UL	40	9	0	0	13	1	1	12	0	0	66.7726		0 	0 	1
UL	41	5	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	41	5	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	43	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	43	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
DL	44	3	0	1	13	1	1	75	0	0	39.8201	0	0	0
UL	45	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	45	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	46	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	46	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	46	6	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	46	6	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
DL	46	9	0	1	13	1	1	359	28	0	46.9319	0	0	0
DL	47	0	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	47	1	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
UL	47	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	47	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	48	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	48	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	48	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
UL	48	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
DL	48	9	0	1	13	1	1	359	28	0	46.9319	0	0	0
DL	49	0	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	49	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	49	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	49	2	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	49	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	49	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	49	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	50	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	50	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	50	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
UL	50	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
DL	50	9	0	1	13	1	1	722	28	0	43.8489	0	0	0
DL	51	0	0	1	13	1	1	722	28	0	43.8489	0	0	0
UL	51	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	51	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	51	2	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	51	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	51	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	51	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	52	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	52	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	52	6	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	52	6	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
DL	52	9	0	1	13	1	1	722	28	0	43.8489	0	0	0
DL	53	0	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	53	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	53	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	53	2	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	53	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	53	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
DL	54	3	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	54	5	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	54	5	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
DL	54	9	0	1	13	1	1	722	28	0	43.8489	0	0	0
UL	55	1	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
UL	55	1	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
DL	55	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	55	7	0	0	13	1	1	722	28	0	63.8251		0 	0 	1
UL	55	7	0	0	13	1	1	722	28	0	63.8251		0 	0 	1
DL	56	1	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	56	4	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	56	4	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	56	5	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
UL	56	5	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
DL	56	8	0	1	13	1	1	722	28	0	43.8489	0	0	0
DL	56	9	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	57	0	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	57	0	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	57	1	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	57	4	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	57	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	57	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	58	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	58	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	58	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
UL	58	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
DL	58	9	0	1	13	1	1	359	28	0	46.9319	0	0	0
DL	59	0	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	59	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	59	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	59	2	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	59	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	59	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	59	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	60	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	60	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	60	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
UL	60	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
DL	60	9	0	1	13	1	1	722	28	0	43.8489	0	0	0
DL	61	0	0	1	13	1	1	722	28	0	43.8489	0	0	0
UL	61	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	61	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	61	2	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	61	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
