Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.443071	DL DCI Rxed	44	3	0	2	1	0	199	2
0.469071	DL DCI Rxed	46	9	0	2	1	0	199	2
0.470071	DL DCI Rxed	47	0	0	2	1	0	198	2
0.489071	DL DCI Rxed	48	9	0	2	1	0	199	2
0.490071	DL DCI Rxed	49	0	0	2	1	0	198	2
0.495071	DL DCI Rxed	49	5	0	2	1	0	199	2
0.509071	DL DCI Rxed	50	9	0	2	1	0	199	2
0.510071	DL DCI Rxed	51	0	0	2	1	0	198	2
0.515071	DL DCI Rxed	51	5	0	2	1	0	199	2
0.529071	DL DCI Rxed	52	9	0	2	1	0	199	2
0.530071	DL DCI Rxed	53	0	0	2	1	0	198	2
0.543071	DL DCI Rxed	54	3	0	2	1	0	199	2
0.549071	DL DCI Rxed	54	9	0	2	1	0	199	2
0.555071	DL DCI Rxed	55	5	0	2	1	0	199	2
0.561071	DL DCI Rxed	56	1	0	2	1	0	199	2
0.568071	DL DCI Rxed	56	8	0	2	1	0	199	2
0.569071	DL DCI Rxed	56	9	0	2	1	0	198	2
0.574071	DL DCI Rxed	57	4	0	2	1	0	199	2
0.589071	DL DCI Rxed	58	9	0	2	1	0	199	2
0.590071	DL DCI Rxed	59	0	0	2	1	0	198	2
0.595071	DL DCI Rxed	59	5	0	2	1	0	199	2
0.609071	DL DCI Rxed	60	9	0	2	1	0	199	2
0.610071	DL DCI Rxed	61	0	0	2	1	0	198	2
0.615071	DL DCI Rxed	61	5	0	2	1	0	199	2
0.629071	DL DCI Rxed	62	9	0	2	1	0	199	2
0.630071	DL DCI Rxed	63	0	0	2	1	0	198	2
0.649071	DL DCI Rxed	64	9	0	2	1	0	199	2
0.650071	DL DCI Rxed	65	0	0	2	1	0	198	2
0.663071	DL DCI Rxed	66	3	0	2	1	0	199	2
0.669071	DL DCI Rxed	66	9	0	2	1	0	199	2
0.675071	DL DCI Rxed	67	5	0	2	1	0	199	2
0.681071	DL DCI Rxed	68	1	0	2	1	0	199	2
0.687071	DL DCI Rxed	68	7	0	2	1	0	199	2
0.693071	DL DCI Rxed	69	3	0	2	1	0	199	2
0.705071	DL DCI Rxed	70	5	0	2	1	0	199	2
0.711071	DL DCI Rxed	71	1	0	2	1	0	199	2
0.717071	DL DCI Rxed	71	7	0	2	1	0	199	2
0.723071	DL DCI Rxed	72	3	0	2	1	0	199	2
0.729071	DL DCI Rxed	72	9	0	2	1	0	199	2
0.735071	DL DCI Rxed	73	5	0	2	1	0	199	2
0.741071	DL DCI Rxed	74	1	0	2	1	0	199	2
0.747071	DL DCI Rxed	74	7	0	2	1	0	199	2
0.753071	DL DCI Rxed	75	3	0	2	1	0	199	2
0.759071	DL DCI Rxed	75	9	0	2	1	0	199	2
0.765071	DL DCI Rxed	76	5	0	2	1	0	199	2
0.771071	DL DCI Rxed	77	1	0	2	1	0	199	2
0.777071	DL DCI Rxed	77	7	0	2	1	0	199	2
0.783071	DL DCI Rxed	78	3	0	2	1	0	199	2
0.789071	DL DCI Rxed	78	9	0	2	1	0	199	2
0.795071	DL DCI Rxed	79	5	0	2	1	0	199	2
0.801071	DL DCI Rxed	80	1	0	2	1	0	199	2
0.808071	DL DCI Rxed	80	8	0	2	1	0	199	2
0.814071	DL DCI Rxed	81	4	0	2	1	0	199	2
0.820071	DL DCI Rxed	82	0	0	2	1	0	199	2
0.826071	DL DCI Rxed	82	6	0	2	1	0	199	2
0.832071	DL DCI Rxed	83	2	0	2	1	0	199	2
0.838071	DL DCI Rxed	83	8	0	2	1	0	199	2
0.844071	DL DCI Rxed	84	4	0	2	1	0	199	2
0.850071	DL DCI Rxed	85	0	0	2	1	0	199	2
0.856071	DL DCI Rxed	85	6	0	2	1	0	199	2
