E2E latency	Uplink latency	Server latency	Downlink latency
0.1781	0.0330311	0.14	0.00506892
0.1861	0.0320323	0.15	0.00406772
0.1951	0.0310335	0.16	0.00406652
0.2041	0.0300347	0.17	0.00406532
0.2131	0.0290359	0.18	0.00406412
0.2221	0.0280371	0.19	0.00406293
0.2311	0.0270383	0.2	0.00406173
0.2401	0.0260395	0.21	0.00406053
0.2491	0.0250407	0.22	0.00405933
0.2581	0.0240419	0.23	0.00405813
0.2671	0.0230431	0.24	0.00405694
0.2761	0.0220443	0.25	0.00405574
0.2851	0.0210455	0.26	0.00405454
0.2941	0.0200466	0.27	0.00405334
0.4031	0.0290311	0.37	0.00406892
